"Analysis_ID","Metric","Model","Model_Term","Num_DF","Den_DF","F_Value","P","N","Patients_N","Status","P_FDR"
"T01_PRJEB33360_Longitudinal_Main","Alpha_Observed","Value ~ Timepoint_Factor + (1|Patient_ID)","(Intercept)",1,83,461.58829985262,0,130,43,"PASS",0
"T01_PRJEB33360_Longitudinal_Main","Alpha_Observed","Value ~ Timepoint_Factor + (1|Patient_ID)","Timepoint_Factor",4,83,5.40963369016949,0.000639719759785606,130,43,"PASS",0.00156375941280926
"T01_PRJEB33360_Longitudinal_Main","Alpha_Shannon","Value ~ Timepoint_Factor + (1|Patient_ID)","(Intercept)",1,83,439.456681946235,0,130,43,"PASS",0
"T01_PRJEB33360_Longitudinal_Main","Alpha_Shannon","Value ~ Timepoint_Factor + (1|Patient_ID)","Timepoint_Factor",4,83,4.51759346995961,0.00237219930296351,130,43,"PASS",0.00521883846651972
"T01_PRJEB33360_Longitudinal_Main","Alpha_InverseSimpson","Value ~ Timepoint_Factor + (1|Patient_ID)","(Intercept)",1,83,142.526242092541,0,130,43,"PASS",0
"T01_PRJEB33360_Longitudinal_Main","Alpha_InverseSimpson","Value ~ Timepoint_Factor + (1|Patient_ID)","Timepoint_Factor",4,83,4.16942953675024,0.00398051507063435,130,43,"PASS",0.00729761096282964
"T01_PRJEB33360_Longitudinal_Main","SDI_Equal_Balance","Value ~ Timepoint_Factor + (1|Patient_ID)","(Intercept)",1,83,8.98238975194702,0.0035946516935752,130,43,"PASS",0.0071893033871504
"T01_PRJEB33360_Longitudinal_Main","SDI_Equal_Balance","Value ~ Timepoint_Factor + (1|Patient_ID)","Timepoint_Factor",4,83,2.17976055598121,0.0783151328252621,130,43,"PASS",0.0957184956753204
"T01_PRJEB33360_Longitudinal_Main","SDI_MetaWeighted_Balance","Value ~ Timepoint_Factor + (1|Patient_ID)","(Intercept)",1,83,0.474086179647323,0.493033399234587,130,43,"PASS",0.493033399234587
"T01_PRJEB33360_Longitudinal_Main","SDI_MetaWeighted_Balance","Value ~ Timepoint_Factor + (1|Patient_ID)","Timepoint_Factor",4,83,2.51708868452315,0.0474235978476927,130,43,"PASS",0.0652074470405774
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Bilophila.Family__Desulfovibrionaceae","Value ~ Timepoint_Factor + (1|Patient_ID)","(Intercept)",1,83,81.1043977199888,6.3504757008559e-14,130,43,"PASS",2.32850775698049e-13
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Bilophila.Family__Desulfovibrionaceae","Value ~ Timepoint_Factor + (1|Patient_ID)","Timepoint_Factor",4,83,2.20647774022264,0.0752799541174606,130,43,"PASS",0.0957184956753204
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Butyricimonas.Family__Marinifilaceae","Value ~ Timepoint_Factor + (1|Patient_ID)","(Intercept)",1,83,55.8031175189426,7.30864258002839e-11,130,43,"PASS",2.00987670950781e-10
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Butyricimonas.Family__Marinifilaceae","Value ~ Timepoint_Factor + (1|Patient_ID)","Timepoint_Factor",4,83,1.73588383919941,0.14983896034678,130,43,"PASS",0.173497743559429
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Parabacteroides.Family__Tannerellaceae","Value ~ Timepoint_Factor + (1|Patient_ID)","(Intercept)",1,83,241.510770119366,0,130,43,"PASS",0
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Parabacteroides.Family__Tannerellaceae","Value ~ Timepoint_Factor + (1|Patient_ID)","Timepoint_Factor",4,83,1.2959074323701,0.278375228711834,130,43,"PASS",0.306212751583017
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Hoylesella.Family__Prevotellaceae","Value ~ Timepoint_Factor + (1|Patient_ID)","(Intercept)",1,83,75.9190052821056,2.4491519923231e-13,130,43,"PASS",7.69733483301544e-13
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Hoylesella.Family__Prevotellaceae","Value ~ Timepoint_Factor + (1|Patient_ID)","Timepoint_Factor",4,83,3.92403419916571,0.00574242397582392,130,43,"PASS",0.00902380910486616
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Campylobacter.Family__Campylobacteraceae","Value ~ Timepoint_Factor + (1|Patient_ID)","(Intercept)",1,83,100.57637410854,5.55111512312578e-16,130,43,"PASS",2.44249065417534e-15
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Campylobacter.Family__Campylobacteraceae","Value ~ Timepoint_Factor + (1|Patient_ID)","Timepoint_Factor",4,83,3.94340159782827,0.00557847140832779,130,43,"PASS",0.00902380910486616
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Atopobium.Family__Atopobiaceae","Value ~ Timepoint_Factor + (1|Patient_ID)","(Intercept)",1,83,4.31575837865889,0.0408521468217357,130,43,"PASS",0.0599164820052123
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Atopobium.Family__Atopobiaceae","Value ~ Timepoint_Factor + (1|Patient_ID)","Timepoint_Factor",4,83,1.16597165685917,0.331817231477695,130,43,"PASS",0.347618052024252
"T02_PRJEB33360_Longitudinal_DepthSensitivity","Alpha_Observed","Value ~ Timepoint_Factor + (1|Patient_ID)","(Intercept)",1,80,425.098891243528,0,127,43,"PASS",0
"T02_PRJEB33360_Longitudinal_DepthSensitivity","Alpha_Observed","Value ~ Timepoint_Factor + (1|Patient_ID)","Timepoint_Factor",4,80,5.04800878899679,0.00111548480808266,127,43,"PASS",0.00272674064197983
"T02_PRJEB33360_Longitudinal_DepthSensitivity","Alpha_Shannon","Value ~ Timepoint_Factor + (1|Patient_ID)","(Intercept)",1,80,416.122579829086,0,127,43,"PASS",0
